ParentPhenotype line ParentGenotype MutantPhenotype MutantGenotype KC_col1 KC_col4 Conditional_Complexity
0111111111111111110 42 155320662314076 111111111111111111 055320662314076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111110 255320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 355320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 455320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 555320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 655320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 755320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 105320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 115320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 125320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 135320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 145320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 165320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 175320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111100 150320662314076 12.74 12.51 10.70
0111111111111111110 42 155320662314076 111111111111111110 151320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 152320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 153320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 154320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 156320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 157320662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111111 155020662314076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155120662314076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111110 155220662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155420662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155520662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155620662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155720662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155300662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155310662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155330662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155340662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155350662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155360662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155370662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155321662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155322662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155323662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155324662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155325662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155326662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155327662314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111000000000000 155320062314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111110000000000 155320162314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111100000000 155320262314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111000000 155320362314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111110000 155320462314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111111100 155320562314076 12.74 12.51 10.70
0111111111111111110 42 155320662314076 111111111111111111 155320762314076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111110 155320602314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320612314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320622314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320632314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320642314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320652314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320672314076 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111111 155320660314076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320661314076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111110000 155320663314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111000000 155320664314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111110000000 155320665314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111100000000 155320666314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111000000000 155320667314076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111111111 155320662014076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662114076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662214076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111000 155320662414076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111100000 155320662514076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111000000 155320662614076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111110000000 155320662714076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111111000 155320662304076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111111111 155320662324076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662334076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662344076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662354076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662364076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662374076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662310076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662311076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662312076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662313076 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111000 155320662315076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111110000 155320662316076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111100000 155320662317076 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111111110 155320662314176 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320662314276 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320662314376 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320662314476 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320662314576 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320662314676 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111111111111110 155320662314776 12.74 10.42 8.10
0111111111111111110 42 155320662314076 111111000000000000 155320662314006 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111110000000000 155320662314016 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111100000000 155320662314026 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111110000000 155320662314036 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111100000 155320662314046 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111110000 155320662314056 12.74 12.51 13.30
0111111111111111110 42 155320662314076 111111111111111100 155320662314066 12.74 12.51 10.70
0111111111111111110 42 155320662314076 111111111111111111 155320662314070 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662314071 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662314072 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662314073 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662314074 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111111 155320662314075 12.74 4.17 5.50
0111111111111111110 42 155320662314076 111111111111111100 155320662314077 12.74 12.51 10.70
0111111111111111110 63 113240767165735 111111111111111110 013240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111110 213240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111100 313240767165735 12.74 12.51 10.70
0111111111111111110 63 113240767165735 111111111111111100 413240767165735 12.74 12.51 10.70
0111111111111111110 63 113240767165735 111111111111111100 513240767165735 12.74 12.51 10.70
0111111111111111110 63 113240767165735 111111111111111100 613240767165735 12.74 12.51 10.70
0111111111111111110 63 113240767165735 111111111111111100 713240767165735 12.74 12.51 10.70
0111111111111111110 63 113240767165735 111111111111111110 103240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111110 123240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111110 133240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111110 143240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111111 153240767165735 12.74 4.17 5.50
0111111111111111110 63 113240767165735 111111111111111111 163240767165735 12.74 4.17 5.50
0111111111111111110 63 113240767165735 111111111111111111 173240767165735 12.74 4.17 5.50
0111111111111111110 63 113240767165735 111111111111111100 110240767165735 12.74 12.51 10.70
0111111111111111110 63 113240767165735 111111111111111100 111240767165735 12.74 12.51 10.70
0111111111111111110 63 113240767165735 111111111111111110 112240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111110 114240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111110 115240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111110 116240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111110 117240767165735 12.74 10.42 8.10
0111111111111111110 63 113240767165735 111111111111111111 113040767165735 12.74 4.17 5.50
