ParentPhenotyope MutantPhenotype count proportion KC_col1 KC_col4 Conditional_Complexity
ParentPhenotyope MutantPhenotype count proportion KC_col1 KC_col4 Conditional_Complexity
UUUURDDDRDLDLDLULURULURU	AAAAAAAAAAAAAAAAAAAA	255	0.85 38.97 8.64 12.90
UUUURDDDRDLDLDLULURULURU	URDRDDDLDLULULUUURDDRRDL	1	0.0033333333333333335 38.97 45.85 36.40
UUUURDDDRDLDLDLULURULURU	URRDLDLLLURUULURURDRRDLL	1	0.0033333333333333335 38.97 48.14 47.60
UUUURDDDRDLDLDLULURULURU	URRRDLLDDLULULURURRURRDL	1	0.0033333333333333335 38.97 43.56 47.60
UUUURDDDRDLDLDLULURULURU	URRRDLLDDLULULURUURRRDLL	1	0.0033333333333333335 38.97 41.26 36.40
UUUURDDDRDLDLDLULURULURU	URRURDDRRDLDDDLULURULLUR	1	0.0033333333333333335 38.97 50.43 42.00
UUUURDDDRDLDLDLULURULURU	URURDDLDDRURURULUULLULDD	1	0.0033333333333333335 38.97 45.85 47.60
UUUURDDDRDLDLDLULURULURU	URUULDLDLDRDRDRURRUUULDD	1	0.0033333333333333335 38.97 43.56 42.00
UUUURDDDRDLDLDLULURULURU	URUULDLDLDRDRDRUURDRUULU	2	0.006666666666666667 38.97 43.56 42.00
UUUURDDDRDLDLDLULURULURU	URUURDDRDLLDLDLULURULURR	2	0.006666666666666667 38.97 48.14 33.60
UUUURDDDRDLDLDLULURULURU	URUURDRDLDLDLDLULURULURR	2	0.006666666666666667 38.97 38.97 28.00
UUUURDDDRDLDLDLULURULURU	UURULLDDLDRDRDRURULURRUL	1	0.0033333333333333335 38.97 45.85 44.80
UUUURDDDRDLDLDLULURULURU	UURURDDLDDLDDLUULURULURU	2	0.006666666666666667 38.97 36.68 30.80
UUUURDDDRDLDLDLULURULURU	UURURDDLDRDLLDLULURULURU	1	0.0033333333333333335 38.97 43.56 33.60
UUUURDDDRDLDLDLULURULURU	UUURDDRRDLLDLDLULURULURU	1	0.0033333333333333335 38.97 43.56 28.00
UUUURDDDRDLDLDLULURULURU	UUURULLDLDRDDLDRDRURRULU	1	0.0033333333333333335 38.97 43.56 47.60
UUUURDDDRDLDLDLULURULURU	UUUURDDDRDLDDLULLURULURU	1	0.0033333333333333335 38.97 45.85 28.00
UUUURDDDRDLDLDLULURULURU	UUUURDDDRDLDLDLULURULURU	24	0.08 38.97 38.97 14.10
UUUURDDDRDLDLDLULURULURU	UUUURDDDRRDLLDLLLURULURU	1	0.0033333333333333335 38.97 43.56 33.60
ParentPhenotyope MutantPhenotype count proportion KC_col1 KC_col4 Conditional_Complexity
UUUURDDDRDLDLLULLURUURDD	AAAAAAAAAAAAAAAAAAAA	310	0.8857142857142857 45.85 8.64 14.30
UUUURDDDRDLDLLULLURUURDD	URDDRUURRDLDDLLLULULURUR	1	0.002857142857142857 45.85 48.14 40.80
UUUURDDDRDLDLLULLURUURDD	URDRDLLDRDLDLUULURULURUR	1	0.002857142857142857 45.85 43.56 38.00
UUUURDDDRDLDLLULLURUURDD	URRDLDLLLURULURUURDRRDLL	1	0.002857142857142857 45.85 45.85 38.00
UUUURDDDRDLDLLULLURUURDD	URRURDRRRDLDLDLLLUURDRUR	1	0.002857142857142857 45.85 45.85 43.60
UUUURDDDRDLDLLULLURUURDD	URURULULULDLLDDDRRULURRD	1	0.002857142857142857 45.85 45.85 49.10
UUUURDDDRDLDLLULLURUURDD	URURULUUULDLLDDDDRUUURDD	1	0.002857142857142857 45.85 48.14 43.60
UUUURDDDRDLDLLULLURUURDD	URUURDDRRDLLLDLDLUULURUR	1	0.002857142857142857 45.85 45.85 38.00
UUUURDDDRDLDLLULLURUURDD	UURRDLDRDLLDLUULLURUURDD	1	0.002857142857142857 45.85 50.43 38.00
UUUURDDDRDLDLLULLURUURDD	UURURDDLDDLDLLUULURURDDD	2	0.005714285714285714 45.85 38.97 35.20
UUUURDDDRDLDLLULLURUURDD	UUURDDRRDLLDLLULLURUURDD	1	0.002857142857142857 45.85 43.56 24.00
UUUURDDDRDLDLLULLURUURDD	UUUURDDDRDLDLLULLURUURDD	28	0.08 45.85 45.85 15.60
UUUURDDDRDLDLLULLURUURDD	UUUURDDDRDLDLLULULURURDD	1	0.002857142857142857 45.85 41.26 21.20
ParentPhenotyope MutantPhenotype count proportion KC_col1 KC_col4 Conditional_Complexity
UUUURDDDRDLDLLULULURURDD	AAAAAAAAAAAAAAAAAAAA	514	0.8566666666666667 41.26 8.64 13.30
UUUURDDDRDLDLLULULURURDD	URDDRUURRDLDDLLLULULURUR	2	0.0033333333333333335 41.26 48.14 39.70
UUUURDDDRDLDLLULULURURDD	URDRDLLDRDLDLUULULURURDD	2	0.0033333333333333335 41.26 45.85 34.10
UUUURDDDRDLDLLULULURURDD	URRDLDLLLURULURURURDRDLL	1	0.0016666666666666668 41.26 43.56 39.70
UUUURDDDRDLDLLULULURURDD	URULLDDDLDRDRRURURULLDLD	3	0.005 41.26 43.56 48.10
UUUURDDDRDLDLLULULURURDD	URURDDLDRDLDLUULULURURUR	1	0.0016666666666666668 41.26 41.26 31.30
UUUURDDDRDLDLLULULURURDD	URURULLDLDDLDRRDRDRUULUR	1	0.0016666666666666668 41.26 48.14 53.60
UUUURDDDRDLDLLULULURURDD	URUULDLDLDRDRDRDRRULULUR	2	0.0033333333333333335 41.26 38.97 39.70
UUUURDDDRDLDLLULULURURDD	URUULDLDLDRDRDRRURUULDLD	1	0.0016666666666666668 41.26 36.68 39.70
UUUURDDDRDLDLLULULURURDD	URUURDDRDLLDLLULUUURRDLD	2	0.0033333333333333335 41.26 50.43 45.30
UUUURDDDRDLDLLULULURURDD	UURRDLDRDLLDLUULULURURDD	1	0.0016666666666666668 41.26 48.14 39.70
UUUURDDDRDLDLLULULURURDD	UUURDDRRDLLDLLULULURURDD	2	0.0033333333333333335 41.26 43.56 28.50
UUUURDDDRDLDLLULULURURDD	UUUURDDDRDLDLDLUULUUURDD	1	0.0016666666666666668 41.26 36.68 28.50
UUUURDDDRDLDLLULULURURDD	UUUURDDDRDLDLLULLURUURDD	1	0.0016666666666666668 41.26 45.85 31.30
UUUURDDDRDLDLLULULURURDD	UUUURDDDRDLDLLULULURURDD	64	0.10666666666666667 41.26 41.26 14.50
UUUURDDDRDLDLLULULURURDD	UUUURDDDRRDLLDLLULUUURDD	1	0.0016666666666666668 41.26 41.26 31.30
UUUURDDDRDLDLLULULURURDD	UUUURDRDLDDDLLULULURURDD	1	0.0016666666666666668 41.26 41.26 25.70
ParentPhenotyope MutantPhenotype count proportion KC_col1 KC_col4 Conditional_Complexity
UUUURDDDRDLDLLULURUULURU	AAAAAAAAAAAAAAAAAAAA	345	0.8625 43.56 8.64 13.70
UUUURDDDRDLDLLULURUULURU	URDRURURRDLDLDLDLULLLURU	3	0.0075 43.56 43.56 40.20
UUUURDDDRDLDLLULURUULURU	URULLDLLDRRDRRURUUULULDL	1	0.0025 43.56 45.85 45.80
UUUURDDDRDLDLLULURUULURU	URULULDDDLUUULLLDRRDDLUL	1	0.0025 43.56 45.85 43.00
UUUURDDDRDLDLLULURUULURU	URULURRDDRUUULLULDLDLDRD	1	0.0025 43.56 50.43 45.80
UUUURDDDRDLDLLULURUULURU	URUULDLDLDRDRRURRULURULU	4	0.01 43.56 41.26 37.40
UUUURDDDRDLDLLULURUULURU	URUULDLDLDRDRRURUURRULLU	4	0.01 43.56 45.85 43.00
UUUURDDDRDLDLLULURUULURU	UURDRUULLLDDDLDLDRRURRUR	1	0.0025 43.56 45.85 45.80
UUUURDDDRDLDLLULURUULURU	UURRULLLDDDDRRUURDRURULU	1	0.0025 43.56 48.14 48.60
UUUURDDDRDLDLLULURUULURU	UURRULLUURDRRDDRDLDLULDD	1	0.0025 43.56 50.43 40.20
UUUURDDDRDLDLLULURUULURU	UUUURDDDRDLDLLULURUULURU	38	0.095 43.56 43.56 15.00
ParentPhenotyope MutantPhenotype count proportion KC_col1 KC_col4 Conditional_Complexity
UUUURDDDRRULUUULLLDDLDRD	AAAAAAAAAAAAAAAAAAAA	388	0.9129411764705883 48.14 8.64 17.40
UUUURDDDRRULUUULLLDDLDRD	URUULDLDLLURUULURURDRDLD	1	0.002352941176470588 48.14 43.56 46.80
